File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/499.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	2 mL Std
Injection Number	2
Position	2
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Calibration Standard
Status	Finished
Injection Date	11/1/2016
Injection Time	9:31:34 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.103452
Signal Max.	17.491462
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.106167	0.010	-0.030371
0.106333	0.010	-0.050078
0.106500	0.010	-0.044563
0.106667	0.010	-0.022957
0.106833	0.010	-0.040352
0.107000	0.010	-0.054461
0.107167	0.010	-0.042722
0.107333	0.010	-0.047737
0.107500	0.010	-0.072019
0.107667	0.010	-0.038858
0.107833	0.010	-0.010405
0.108000	0.010	-0.013951
0.108167	0.010	-0.020750
0.108333	0.010	-0.036181
0.108500	0.010	-0.036737
0.108667	0.010	-0.018842
0.108833	0.010	-0.023412
0.109000	0.010	0.010925
0.109167	0.010	-0.035340
0.109333	0.010	-0.052238
0.109500	0.010	-0.071614
0.109667	0.010	-0.049197
0.109833	0.010	-0.045293
0.110000	0.010	-0.023142
0.110167	0.010	-0.036643
0.110333	0.010	-0.035914
0.110500	0.010	-0.022453
0.110667	0.010	-0.034472
0.110833	0.010	-0.051638
0.111000	0.010	-0.056959
0.111167	0.010	-0.007624
0.111333	0.010	0.000806
0.111500	0.010	-0.016567
0.111667	0.010	-0.027725
0.111833	0.010	-0.041486
0.112000	0.010	-0.040204
0.112167	0.010	-0.033228
0.112333	0.010	-0.038619
0.112500	0.010	-0.038156
0.112667	0.010	-0.019592
0.112833	0.010	-0.038398
0.113000	0.010	-0.021036
0.113167	0.010	-0.066297
0.113333	0.010	-0.023935
0.113500	0.010	-0.000267
0.113667	0.010	-0.022645
0.113833	0.010	-0.042354
0.114000	0.010	-0.056579
0.114167	0.010	-0.014675
0.114333	0.010	-0.033854
0.114500	0.010	-0.051815
0.114667	0.010	-0.033774
0.114833	0.010	-0.020986
0.115000	0.010	-0.026170
0.115167	0.010	-0.025480
0.115333	0.010	-0.068049
0.115500	0.010	-0.041765
0.115667	0.010	-0.055610
0.115833	0.010	-0.035601
0.116000	0.010	-0.018614
0.116167	0.010	-0.017652
0.116333	0.010	-0.029979
0.116500	0.010	-0.019962
0.116667	0.010	-0.015431
0.116833	0.010	-0.039130
0.117000	0.010	-0.055756
0.117167	0.010	-0.067973
0.117333	0.010	-0.050558
0.117500	0.010	-0.019237
0.117667	0.010	-0.008431
0.117833	0.010	-0.003735
0.118000	0.010	-0.043404
0.118167	0.010	-0.033506
0.118333	0.010	-0.035667
0.118500	0.010	-0.019761
0.118667	0.010	-0.027509
0.118833	0.010	-0.007527
0.119000	0.010	-0.037521
0.119167	0.010	-0.015486
0.119333	0.010	-0.006934
0.119500	0.010	-0.025321
0.119667	0.010	-0.007776
0.119833	0.010	-0.010623
0.120000	0.010	-0.040560
