File Path	chrom://d9p16qn1/ChromeleonLocal/Instrument Data/HPLC/Sequences/CH 456/Alena/alena_b.seq/652.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	Spike-run1
Injection Number	7
Position	8
Comment	
Processing Method	Hot Sauce_rev1
Instrument Method	Hot Sauce_rev1
Type	Spiked
Status	Finished
Injection Date	11/1/2016
Injection Time	10:23:16 AM
Injection Volume (µl)	20.0
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	9.000000
Data Points	54000
Detector	UV
Exporting Data System	Chromeleon 7.1.1.1127
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.471875
Signal Max.	92.659279
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.010
Max. Step (s)	0.020
Average Step (s)	0.010

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.095667	0.010	-0.718023
0.095833	0.010	-0.728371
0.096000	0.010	-0.719744
0.096167	0.010	-0.747013
0.096333	0.010	-0.730507
0.096500	0.010	-0.712279
0.096667	0.010	-0.702546
0.096833	0.010	-0.713141
0.097000	0.010	-0.726323
0.097167	0.010	-0.724954
0.097333	0.010	-0.730311
0.097500	0.010	-0.752382
0.097667	0.010	-0.733728
0.097833	0.010	-0.750502
0.098000	0.010	-0.744927
0.098167	0.010	-0.736403
0.098333	0.010	-0.755879
0.098500	0.010	-0.748964
0.098667	0.010	-0.724589
0.098833	0.010	-0.774626
0.099000	0.010	-0.733264
0.099167	0.010	-0.735624
0.099333	0.010	-0.729070
0.099500	0.010	-0.731212
0.099667	0.010	-0.716469
0.099833	0.010	-0.701853
0.100000	0.010	-0.734210
0.100167	0.010	-0.725867
0.100333	0.010	-0.740838
0.100500	0.010	-0.756069
0.100667	0.010	-0.737844
0.100833	0.010	-0.778023
0.101000	0.010	-0.781067
0.101167	0.010	-0.775253
0.101333	0.010	-0.765924
0.101500	0.010	-0.735398
0.101667	0.010	-0.751967
0.101833	0.010	-0.741127
0.102000	0.010	-0.751167
0.102167	0.010	-0.755308
0.102333	0.010	-0.751858
0.102500	0.010	-0.749508
0.102667	0.010	-0.757323
0.102833	0.010	-0.748852
0.103000	0.010	-0.735706
0.103167	0.010	-0.736093
0.103333	0.010	-0.740328
0.103500	0.010	-0.758510
0.103667	0.010	-0.758684
0.103833	0.010	-0.758095
0.104000	0.010	-0.765897
0.104167	0.010	-0.742190
0.104333	0.010	-0.726229
0.104500	0.010	-0.742067
0.104667	0.010	-0.736159
0.104833	0.010	-0.745644
0.105000	0.010	-0.748065
0.105167	0.010	-0.755070
0.105333	0.010	-0.786322
0.105500	0.010	-0.776687
0.105667	0.010	-0.748505
0.105833	0.010	-0.735334
0.106000	0.010	-0.738630
0.106167	0.010	-0.729563
0.106333	0.010	-0.753942
0.106500	0.010	-0.741541
0.106667	0.010	-0.721290
0.106833	0.010	-0.733044
0.107000	0.010	-0.714158
0.107167	0.010	-0.733420
0.107333	0.010	-0.754546
0.107500	0.010	-0.751712
0.107667	0.010	-0.751368
0.107833	0.010	-0.765895
0.108000	0.010	-0.742707
0.108167	0.010	-0.734662
0.108333	0.010	-0.737858
0.108500	0.010	-0.747749
0.108667	0.010	-0.763324
0.108833	0.010	-0.759039
0.109000	0.010	-0.736103
0.109167	0.010	-0.736820
0.109333	0.010	-0.716871
0.109500	0.010	-0.712305
0.109667	0.010	-0.728881
0.109833	0.010	-0.721887
0.110000	0.010	-0.738480
0.110167	0.010	-0.748390
0.110333	0.010	-0.775692
0.110500	0.010	-0.770478
0.110667	0.010	-0.764477
0.110833	0.010	-0.739982
0.111000	0.010	-0.769376
0.111167	0.010	-0.751465
0.111333	0.010	-0.764312
0.111500	0.010	-0.757140
0.111667	0.010	-0.743596
0.111833	0.010	-0.770946
0.112000	0.010	-0.771519
0.112167	0.010	-0.781456
0.112333	0.010	-0.765033
0.112500	0.010	-0.754569
0.112667	0.010	-0.765660
0.112833	0.010	-0.758354
0.113000	0.010	-0.735399
0.113167	0.010	-0.772485
0.113333	0.010	-0.764795
0.113500	0.010	-0.754614
0.113667	0.010	-0.761908
0.113833	0.010	-0.744153
0.114000	0.010	-0.748970
0.114167	0.010	-0.752616
0.114333	0.010	-0.752499
0.114500	0.010	-0.742208
0.114667	0.010	-0.778256
0.114833	0.010	-0.754400
0.115000	0.010	-0.743072
0.115167	0.010	-0.773381
0.115333	0.010	-0.731762
0.115500	0.010	-0.720294
0.115667	0.010	-0.750542
0.115833	0.010	-0.769639
0.116000	0.010	-0.754722
0.116167	0.010	-0.749238
0.116333	0.010	-0.723007
0.116500	0.010	-0.744143
0.116667	0.010	-0.729370
0.116833	0.010	-0.759439
0.117000	0.010	-0.764005
0.117167	0.010	-0.765547
0.117333	0.010	-0.750578
0.117500	0.010	-0.763629
0.117667	0.010	-0.732774
0.117833	0.010	-0.760180
0.118000	0.010	-0.755159
0.118167	0.010	-0.762293
0.118333	0.010	-0.770458
0.118500	0.010	-0.762953
0.118667	0.010	-0.773444
0.118833	0.010	-0.742881
0.119000	0.010	-0.750931
0.119167	0.010	-0.759865
0.119333	0.010	-0.750326
0.119500	0.010	-0.771506
0.119667	0.010	-0.743592
0.119833	0.010	-0.753828
0.120000	0.010	-0.760864
