country_name,respid,gender,age,education,corganizedae
liberia,2031114,M,58,3,1
liberia,2031132,M,44,6,1
liberia,2031162,M,43,6,1
liberia,2031152,M,38,7,0
liberia,2031111,F,27,6,97
liberia,2031193,F,42,0,1
liberia,2032122,M,46,7,0
liberia,2032124,M,31,7,1
liberia,2032184,M,44,88,1
liberia,2032143,M,70,0,1
liberia,2032183,M,61,2,1
liberia,2032102,M,36,3,1
liberia,2032104,F,41,3,1
liberia,2032123,F,30,0,1
liberia,2032125,F,24,6,1
liberia,2032101,F,46,0,1
liberia,2032103,F,48,0,1
liberia,2032121,M,34,7,1
liberia,2032105,M,20,5,1
liberia,2032141,F,20,6,1
liberia,2032201,F,31,6,1
liberia,2032181,M,33,7,1
liberia,2032202,M,62,6,97
liberia,2032182,F,52,4,1
liberia,2032142,F,32,88,1
liberia,2033192,F,30,6,0
liberia,2033111,M,70,2,1
liberia,2033214,F,39,4,1
liberia,2033191,F,21,5,1
liberia,2033155,M,21,5,1
liberia,2033153,M,26,5,1
liberia,2033211,M,30,7,1
liberia,2033131,M,62,6,0
liberia,2033213,F,23,7,1
liberia,2033161,F,41,6,1
liberia,2033156,M,22,5,1
liberia,2033154,F,20,5,1
liberia,2033212,M,65,7,1
liberia,2033113,M,47,6,1
liberia,2033162,F,22,6,1
liberia,2033112,F,29,5,0
liberia,2033151,M,70,3,1
liberia,2033132,F,39,6,1
liberia,2033193,F,30,6,1
liberia,2033152,F,34,3,1
liberia,2033133,F,40,6,1
liberia,2034141,M,68,5,1
liberia,2034142,M,74,2,1
liberia,2034101,M,29,6,1
liberia,2034185,M,20,3,1
liberia,2034184,F,45,0,1
liberia,2034105,M,35,5,1
liberia,2034144,M,38,3,1
liberia,2034174,F,22,0,97
liberia,2034172,M,22,5,1
liberia,2034103,F,42,0,1
liberia,2034223,M,26,6,1
liberia,2034182,M,23,7,1
liberia,2034102,M,35,4,1
liberia,2034175,M,35,7,1
liberia,2034171,M,21,5,0
liberia,2034222,M,30,88,1
liberia,2034173,M,42,7,1
liberia,2034221,M,31,88,1
liberia,2034183,F,24,3,1
liberia,2034186,M,29,88,1
liberia,2034181,F,18,3,1
liberia,2034104,F,40,0,1
liberia,2035141,M,57,8,1
liberia,2035172,F,35,2,1
liberia,2035143,M,51,6,0
liberia,2035201,F,33,3,1
liberia,2035101,M,33,3,1
liberia,2035121,M,37,7,1
liberia,2035223,M,34,0,1
liberia,2035142,F,40,88,1
liberia,2035124,F,39,6,1
liberia,2035123,F,49,1,1
liberia,2035222,M,22,6,1
liberia,2035173,F,39,6,1
liberia,2035174,F,32,6,1
liberia,2035122,F,47,3,1
liberia,2035171,M,54,0,0
liberia,2036183,F,44,2,1
liberia,2036181,M,26,7,1
liberia,2036182,F,52,2,1
liberia,2036142,F,25,6,1
liberia,2036121,F,26,7,1
liberia,2036175,F,45,0,1
liberia,2036102,F,47,3,1
liberia,2036123,F,34,6,97
liberia,2036143,M,34,8,1
liberia,2036104,F,53,0,0
liberia,2036184,,,,1
liberia,2036174,M,42,6,
liberia,2036171,F,23,0,1
liberia,2036122,F,19,6,1
liberia,2036124,F,20,5,1
liberia,2036172,M,19,5,1
liberia,2036141,M,52,6,1
liberia,2036103,M,61,6,1
liberia,2036173,M,20,4,1
liberia,2037191,M,38,7,1
liberia,2037161,F,43,2,1
liberia,2037115,F,23,2,1
liberia,2037112,F,30,3,1
liberia,2037114,M,45,7,1
liberia,2037131,F,23,6,1
liberia,2037135,M,53,6,1
liberia,2037132,M,40,7,1
liberia,2037193,F,38,6,1
liberia,2037111,M,33,6,1
liberia,2037192,F,29,7,1
liberia,2037134,M,20,5,1
liberia,2037164,F,34,7,1
liberia,2037162,M,38,7,1
liberia,2037133,F,28,6,1
liberia,2037195,F,27,7,1
liberia,2037113,F,53,6,1
liberia,2037163,F,40,2,1
liberia,2037165,F,22,6,1
liberia,2037194,F,30,7,1
liberia,2038101,F,48,0,0
liberia,2038124,M,45,7,0
liberia,2038123,M,24,6,1
liberia,2038171,F,43,0,1
liberia,2038127,F,20,5,1
liberia,2038125,M,26,7,1
liberia,2038202,M,39,3,1
liberia,2038204,F,34,6,97
liberia,2038182,F,36,88,1
liberia,2038126,M,44,7,0
liberia,2038102,F,32,0,0
liberia,2038172,F,53,2,1
liberia,2038122,F,52,0,1
liberia,2038181,M,51,7,1
liberia,2038203,F,44,3,97
liberia,2038142,F,35,8,1
liberia,2038141,F,45,2,1
liberia,2038201,M,28,7,1
liberia,2039128,M,44,7,1
liberia,2039127,M,30,0,1
liberia,2039123,F,26,3,1
liberia,2039124,M,66,6,1
liberia,2039121,M,47,8,0
liberia,2038121,F,30,0,1
liberia,2039141,F,26,6,1
liberia,2039174,M,28,7,1
liberia,2039144,F,37,6,1
liberia,2039171,F,35,5,1
liberia,2039172,M,28,7,1
liberia,2039173,F,40,3,1
liberia,2039126,F,41,0,1
liberia,2039143,M,47,6,1
liberia,2039142,M,45,6,1
liberia,2039175,M,28,6,1
liberia,2039125,M,27,6,1
liberia,2039176,M,20,5,1
liberia,2039122,M,31,7,1
liberia,2039145,F,34,5,1
liberia,2040201,M,22,5,1
liberia,2040101,F,31,7,1
liberia,20401427,M,60,6,1
liberia,2040103,F,48,2,1
liberia,2044203,M,43,8,1
liberia,2040122,F,44,1,1
liberia,20401428,M,22,5,1
liberia,2040183,M,45,2,0
liberia,2040102,F,31,3,1
liberia,2040172,F,48,6,1
liberia,2040174,M,27,7,1
liberia,2040182,F,41,6,1
liberia,2040181,F,22,6,1
liberia,2040204,F,47,7,97
liberia,2040121,F,24,5,1
liberia,2040124,M,73,7,0
liberia,2040173,F,31,0,1
liberia,2040203,F,45,7,1
liberia,2040171,F,30,5,1
liberia,2040175,M,51,7,1
liberia,2040123,F,23,6,1
liberia,20411424,M,52,6,1
liberia,2041174,F,49,5,1
liberia,2041185,M,41,5,1
liberia,2041123,F,39,4,1
liberia,20411425,F,42,0,1
liberia,2041103,F,22,5,97
liberia,2041181,F,20,6,1
liberia,20411427,F,19,6,1
liberia,2041183,F,52,2,1
liberia,2041184,M,28,6,1
liberia,2041182,F,20,5,1
liberia,2041172,M,31,0,97
liberia,2041122,M,19,5,1
liberia,2041101,F,37,6,1
liberia,2041102,F,33,6,0
liberia,2041201,M,19,3,1
liberia,20411426,M,54,7,1
liberia,2041121,F,38,7,1
liberia,2041171,F,28,0,1
liberia,2041124,F,45,6,1
liberia,2041173,F,52,5,1
liberia,2042105,M,34,1,1
liberia,2042183,M,44,6,1
liberia,2042185,F,63,0,1
liberia,2042102,F,29,5,0
liberia,2042101,F,39,0,0
liberia,2042181,M,38,5,1
liberia,2042201,M,70,3,97
liberia,2042184,M,23,6,0
liberia,2042202,M,24,7,1
liberia,2042104,M,19,3,1
liberia,2042182,F,45,5,1
liberia,2042106,M,29,7,1
liberia,2042205,M,23,6,1
liberia,2042187,M,35,4,97
liberia,2042107,F,34,0,1
liberia,2042204,M,26,5,0
liberia,2042103,F,21,5,1
liberia,2042206,M,29,7,97
liberia,2042203,M,37,3,1
liberia,2042186,M,54,0,1
liberia,2043106,M,54,6,
liberia,2043104,F,47,0,1
liberia,2043186,M,37,6,1
liberia,2043183,M,37,7,1
liberia,2043201,M,39,5,1
liberia,2043101,M,47,6,1
liberia,2043185,F,30,0,1
liberia,2043102,F,30,0,1
liberia,2043182,F,26,5,0
liberia,2043206,F,36,7,97
liberia,2043181,M,52,3,1
liberia,2043184,,,,1
liberia,2043105,F,21,5,1
liberia,2043107,F,57,0,1
